path,component,auth_required,guard,module,visible_in_navigation,mvp_status,description
"/","Redirect to /home","NO","None","Redirects","N/A","REDIRECT","Default child route redirects to Home."
"/home","HomeComponent","NO","None","Home","PRIMARY","MVP1_VISIBLE","Public product home for the collector journey."
"/login","LoginComponent","NO","None","Auth","HEADER","MVP1_VISIBLE","Email/password sign-in screen."
"/register","RegisterComponent","NO","None","Auth","LOGIN_ONLY","MVP1_VISIBLE","Account creation reached from Login or a direct URL."
"/dashboard","Redirect to /home","NO","None","Redirects","N/A","REDIRECT","Compatibility redirect from the former dashboard."
"/shops","MyShopsComponent","YES","authGuard","Shops","MANUAL_ONLY","LEGACY_FUTURE","Lists shops associated with the current user."
"/shops/new","ShopCreateComponent","YES","authGuard","Shops","MANUAL_ONLY","LEGACY_FUTURE","Creates a shop."
"/shops/:shopId/inventory","ShopInventoryComponent","YES","authGuard","Inventory","MANUAL_ONLY","LEGACY_FUTURE","Internal inventory list for a shop member."
"/shops/:shopId/inventory/new","ShopProductCreateComponent","YES","authGuard","Inventory","MANUAL_ONLY","LEGACY_FUTURE","Adds a catalog product to shop inventory."
"/shops/:shopId/inventory/:shopProductId/edit","ShopProductEditComponent","YES","authGuard","Inventory","MANUAL_ONLY","LEGACY_FUTURE","Edits one inventory entry."
"/shops/:shopId/reservations","ShopReservationsComponent","YES","authGuard","Reservations","MANUAL_ONLY","LEGACY_FUTURE","Shop-side reservation management."
"/shops/:id","ShopDetailComponent","NO","None","Shops","MANUAL_ONLY","LEGACY_FUTURE","Public shop and visible inventory detail."
"/shop-products/:shopProductId","ShopProductDetailComponent","NO","None","Inventory","MANUAL_ONLY","LEGACY_FUTURE","Public inventory detail with optional reservation action."
"/collections","MyCollectionsComponent","YES","authGuard","Collections","PRIMARY","MVP1_VISIBLE","Lists and filters the current user's collections."
"/collections/new","CollectionCreateComponent","YES","authGuard","Collections","CONTEXTUAL","MVP1_VISIBLE","Creates a personal collection."
"/collections/:collectionId/edit","CollectionEditComponent","YES","authGuard","Collections","CONTEXTUAL","MVP1_VISIBLE","Edits an owned collection."
"/collections/:collectionId/items/new","CollectionItemCreateComponent","YES","authGuard","Collections","CONTEXTUAL","MVP1_VISIBLE","Searches the catalog and adds an item."
"/collections/:collectionId/items/:itemId/edit","CollectionItemEditComponent","YES","authGuard","Collections","CONTEXTUAL","MVP1_VISIBLE","Edits the user's state and metadata for an item."
"/collections/:collectionId","CollectionDetailComponent","NO","None","Collections","CONTEXTUAL","MVP1_VISIBLE","Reads a public collection or an owned private collection."
"/wanted","RecommendationsComponent","YES","authGuard","Wanted/Recommendations","PRIMARY","MVP1_VISIBLE","Shows wanted/missing items and current matches."
"/recommendations","Redirect to /wanted","NO","None","Redirects","N/A","REDIRECT","Compatibility redirect to the renamed Wanted screen."
"/profile","ProfileComponent","YES","authGuard","Users/Profile","USER_MENU","MVP1_VISIBLE","Displays the authenticated user's basic profile."
"/reservations","MyReservationsComponent","YES","authGuard","Reservations","MANUAL_ONLY","LEGACY_FUTURE","Lists and cancels the user's reservations."
"/reservations/:reservationId","ReservationDetailComponent","YES","authGuard","Reservations","MANUAL_ONLY","LEGACY_FUTURE","Reservation detail for a permitted reader."
"/catalog","CatalogListComponent","NO","None","Catalog","PRIMARY","MVP1_VISIBLE","Public catalog search and filters."
"/catalog/new","MasterProductCreateComponent","YES","authGuard","Catalog","CONTEXTUAL_ROLE","MVP1_VISIBLE","Catalog creation screen for ADMIN or SHOP_OWNER."
"/catalog/:id","MasterProductDetailComponent","NO","None","Catalog","CONTEXTUAL","MVP1_VISIBLE","Public master-product detail."
"/**","Redirect to /home","NO","None","Fallback","N/A","REDIRECT","Wildcard fallback redirects unknown URLs to Home."
