table_name,domain,mvp_status,description,primary_key,foreign_keys,soft_delete,audit_fields,notes
"users","Identity & Access","MVP1_VISIBLE","Registered identities and profile preferences.","id","","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","email is unique; status defaults to ACTIVE"
"roles","Identity & Access","MVP1_VISIBLE","Global platform roles.","id","","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","code is unique; seeded roles are ADMIN, USER, SHOP_OWNER and CONTENT_CREATOR"
"user_roles","Identity & Access","MVP1_VISIBLE","Many-to-many assignment of global roles to users.","user_id + role_id","user_id -> users.id; role_id -> roles.id","NO","","Composite primary key prevents duplicate assignments"
"refresh_tokens","Technical/Audit","TECHNICAL","Hashed refresh-token records used by authentication.","id","user_id -> users.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","token_hash is unique; revoked_at supports explicit revocation"
"product_categories","Catalog Knowledge Base","MVP1_VISIBLE","Hierarchical categories for catalog products and collections.","id","parent_id -> product_categories.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","code is unique; six reference categories are seeded"
"publishers","Catalog Knowledge Base","MVP2_FOUNDATION","Editorial publishers used by catalog series and future editions.","id","","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","record_status is DRAFT, ACTIVE or ARCHIVED; created_by is required"
"catalog_franchises","Catalog Knowledge Base","MVP2_FOUNDATION","Optional top-level intellectual property or universe grouping.","id","","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","slug is unique among non-deleted rows; aliases and translations are deferred"
"catalog_series","Catalog Knowledge Base","MVP2_FOUNDATION","Editorial series or single-item catalog grouping for BOOK, COMIC or MANGA.","id","franchise_id -> catalog_franchises.id; primary_publisher_id -> publishers.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","ACTIVE series can reference only ACTIVE foundations; year range is constrained"
"catalog_items","Catalog Knowledge Base","MVP2_FOUNDATION","Collectable editorial identity inside a catalog series.","id","series_id -> catalog_series.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","ACTIVE items require an ACTIVE series; sequence label remains flexible and sort order is optional"
"catalog_item_editions","Catalog Knowledge Base","MVP2_FOUNDATION","Concrete publication edition of a catalog item.","id","catalog_item_id -> catalog_items.id; publisher_id -> publishers.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","ISBN and EAN are normalized and unique among non-deleted rows; ACTIVE editions require an ACTIVE item chain and publisher"
"master_product_catalog_links","Catalog Knowledge Base","MVP2_FOUNDATION","Audited reconciliation bridge from legacy master products to editorial items and optional editions.","id","master_product_id -> master_products.id; catalog_item_id -> catalog_items.id; catalog_item_edition_id -> catalog_item_editions.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","Only one VERIFIED non-deleted link per master product; backfill creates PROPOSED links only and does not change legacy consumers"
"master_products","Catalog Knowledge Base","MVP1_VISIBLE","Reusable catalog records shared by collections and inventory.","id","category_id -> product_categories.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","publication_countries and attributes are JSONB; limitedEditionTotalUnits is stored inside attributes"
"product_suggestions","Catalog Knowledge Base","LEGACY_FUTURE","User proposals for catalog records pending review.","id","suggested_by_user_id -> users.id; reviewed_by_user_id -> users.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","Table exists in Liquibase but has no current JPA entity or REST endpoint"
"collections","User Collections","MVP1_VISIBLE","Personal named collections with public or private visibility.","id","user_id -> users.id; category_id -> product_categories.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","visibility defaults to PRIVATE; category is optional"
"collection_items","User Collections","MVP2_VISIBLE","A user's state and notes for a legacy master product or editorial item/edition inside a collection.","id","collection_id -> collections.id; master_product_id -> master_products.id; catalog_item_id -> catalog_items.id; catalog_item_edition_id -> catalog_item_editions.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","At least master_product_id or catalog_item_id is required; VERIFIED bridges are backfilled while legacy states remain compatible"
"shops","Shops & Inventory","LEGACY_FUTURE","Shop profiles owned by users.","id","owner_user_id -> users.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","country became nullable in changelog 004; reservation expiry must be positive"
"shop_members","Shops & Inventory","LEGACY_FUTURE","Per-shop membership and internal role assignments.","id","shop_id -> shops.id; user_id -> users.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","Unique shop_id + user_id; internal roles include OWNER, MANAGER and STAFF"
"shop_products","Shops & Inventory","MVP2_VISIBLE","Commercial inventory entries linked to a legacy master product or editorial item/edition.","id","shop_id -> shops.id; master_product_id -> master_products.id; catalog_item_id -> catalog_items.id; catalog_item_edition_id -> catalog_item_editions.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","At least master_product_id or catalog_item_id is required; an edition requires its item; VERIFIED bridges are backfilled"
"reservations","Commerce","LEGACY_FUTURE","Reservation requests for visible shop inventory without payment.","id","user_id -> users.id; shop_id -> shops.id; shop_product_id -> shop_products.id","YES","created_at; created_by; updated_at; updated_by; deleted_at; deleted_by","quantity must be positive; does not implement payment or stock locking"
