frontend_route,component,angular_service,http_method,backend_endpoint,mvp_status,notes
"/home","HomeComponent","None","N/A","No direct API call","MVP1_VISIBLE","Static/localized product content."
"/login","LoginComponent","AuthService","POST","/api/auth/login","MVP1_VISIBLE","Stores the returned session locally."
"/register","RegisterComponent","AuthService","POST","/api/auth/register","MVP1_VISIBLE","Sends preferred language but not confirmPassword."
"/shops","MyShopsComponent","ShopService","GET","/api/shops/my","LEGACY_FUTURE","Lists memberships."
"/shops/new","ShopCreateComponent","ShopService","POST","/api/shops","LEGACY_FUTURE","Creates shop and OWNER membership."
"/shops/:shopId/inventory","ShopInventoryComponent","ShopService","GET","/api/shops/{shopId}","LEGACY_FUTURE","Loads shop heading."
"/shops/:shopId/inventory","ShopInventoryComponent","InventoryService","GET","/api/shops/{shopId}/products/my","LEGACY_FUTURE","Loads internal inventory."
"/shops/:shopId/inventory/new","ShopProductCreateComponent","CatalogService","GET","/api/master-products","LEGACY_FUTURE","Searches reusable products."
"/shops/:shopId/inventory/new","ShopProductCreateComponent","EditorialCatalogService","GET","/api/catalog/editorial/search","MVP2_VISIBLE","Searches selectable editorial items and editions."
"/shops/:shopId/inventory/new","ShopProductCreateComponent","InventoryService","POST","/api/shops/{shopId}/products","LEGACY_FUTURE","Creates inventory entry."
"/shops/:shopId/inventory/:shopProductId/edit","ShopProductEditComponent","InventoryService","GET","/api/shops/{shopId}/products/my","LEGACY_FUTURE","Finds the selected internal entry."
"/shops/:shopId/inventory/:shopProductId/edit","ShopProductEditComponent","EditorialCatalogService","GET","/api/catalog/editorial/search","MVP2_VISIBLE","Searches an editorial replacement reference."
"/shops/:shopId/inventory/:shopProductId/edit","ShopProductEditComponent","InventoryService","PUT","/api/shops/{shopId}/products/{shopProductId}","LEGACY_FUTURE","Updates inventory entry."
"/shops/:shopId/reservations","ShopReservationsComponent","ReservationService","GET","/api/shops/{shopId}/reservations","LEGACY_FUTURE","Loads shop reservations with filters."
"/shops/:shopId/reservations","ShopReservationsComponent","ReservationService","PUT","/api/shops/{shopId}/reservations/{reservationId}/status","LEGACY_FUTURE","Applies shop-side status action."
"/shops/:id","ShopDetailComponent","ShopService","GET","/api/shops/{shopId}","LEGACY_FUTURE","Loads public shop details."
"/shops/:id","ShopDetailComponent","InventoryService","GET","/api/shops/{shopId}/products","LEGACY_FUTURE","Loads visible inventory."
"/shops/:id","ShopDetailComponent","ShopService","GET","/api/shops/my","LEGACY_FUTURE","Conditional membership check when authenticated."
"/shop-products/:shopProductId","ShopProductDetailComponent","InventoryService","GET","/api/shop-products/{shopProductId}","LEGACY_FUTURE","Loads public inventory detail."
"/shop-products/:shopProductId","ShopProductDetailComponent","ShopService","GET","/api/shops/{shopId}","LEGACY_FUTURE","Loads related shop details."
"/shop-products/:shopProductId","ShopProductDetailComponent","ReservationService","POST","/api/reservations","LEGACY_FUTURE","Optional authenticated reservation action."
"/collections","MyCollectionsComponent","CollectionService","GET","/api/collections/my","MVP1_VISIBLE","Loads own collections with filters."
"/collections","MyCollectionsComponent","CollectionService","DELETE","/api/collections/{collectionId}","MVP1_VISIBLE","Owner delete action."
"/collections","MyCollectionsComponent","CatalogService","GET","/api/product-categories","MVP1_VISIBLE","Populates category filter."
"/collections/new","CollectionCreateComponent","CatalogService","GET","/api/product-categories","MVP1_VISIBLE","Populates category selector."
"/collections/new","CollectionCreateComponent","CollectionService","POST","/api/collections","MVP1_VISIBLE","Creates collection."
"/collections/:collectionId/edit","CollectionEditComponent","CollectionService","GET","/api/collections/{collectionId}","MVP1_VISIBLE","Loads editable collection."
"/collections/:collectionId/edit","CollectionEditComponent","CatalogService","GET","/api/product-categories","MVP1_VISIBLE","Populates category selector."
"/collections/:collectionId/edit","CollectionEditComponent","CollectionService","PUT","/api/collections/{collectionId}","MVP1_VISIBLE","Updates collection."
"/collections/:collectionId/items/new","CollectionItemCreateComponent","CatalogService","GET","/api/master-products","MVP1_VISIBLE","Searches catalog candidates."
"/collections/:collectionId/items/new","CollectionItemCreateComponent","EditorialCatalogService","GET","/api/catalog/editorial/search","MVP2_VISIBLE","Searches selectable editorial items and editions."
"/collections/:collectionId/items/new","CollectionItemCreateComponent","CollectionService","POST","/api/collections/{collectionId}/items","MVP1_VISIBLE","Adds selected item."
"/collections/:collectionId/items/:itemId/edit","CollectionItemEditComponent","CollectionService","GET","/api/collections/{collectionId}/items","MVP1_VISIBLE","Loads and selects the item."
"/collections/:collectionId/items/:itemId/edit","CollectionItemEditComponent","EditorialCatalogService","GET","/api/catalog/editorial/search","MVP2_VISIBLE","Searches a replacement editorial reference."
"/collections/:collectionId/items/:itemId/edit","CollectionItemEditComponent","CollectionService","PUT","/api/collections/{collectionId}/items/{itemId}","MVP1_VISIBLE","Updates item state and metadata."
"/collections/:collectionId","CollectionDetailComponent","CollectionService","GET","/api/collections/{collectionId}","MVP1_VISIBLE","Loads readable collection."
"/collections/:collectionId","CollectionDetailComponent","CollectionService","GET","/api/collections/{collectionId}/items","MVP1_VISIBLE","Loads readable items."
"/collections/:collectionId","CollectionDetailComponent","AuthService","GET","/api/users/me","MVP1_VISIBLE","Conditional owner resolution when session user is not cached."
"/collections/:collectionId","CollectionDetailComponent","CollectionService","DELETE","/api/collections/{collectionId}/items/{itemId}","MVP1_VISIBLE","Owner item-delete action."
"/wanted","RecommendationsComponent","RecommendationService","GET","/api/recommendations/my","MVP1_VISIBLE","Loads matches for wanted/missing items."
"/wanted","RecommendationsComponent","RecommendationService","GET","/api/recommendations/my/summary","MVP1_VISIBLE","Loads aggregate counts."
"/wanted","RecommendationsComponent","CatalogService","GET","/api/product-categories","MVP1_VISIBLE","Populates category filter."
"/profile","ProfileComponent","AuthService","GET","/api/users/me","MVP1_VISIBLE","Refreshes current profile."
"/reservations","MyReservationsComponent","ReservationService","GET","/api/reservations/my","LEGACY_FUTURE","Loads user's reservations."
"/reservations","MyReservationsComponent","ReservationService","PUT","/api/reservations/{reservationId}/cancel","LEGACY_FUTURE","Cancels owned reservation."
"/reservations/:reservationId","ReservationDetailComponent","ReservationService","GET","/api/reservations/{reservationId}","LEGACY_FUTURE","Loads readable reservation."
"/reservations/:reservationId","ReservationDetailComponent","ReservationService","PUT","/api/reservations/{reservationId}/cancel","LEGACY_FUTURE","Cancels owned reservation."
"/reservations/:reservationId","ReservationDetailComponent","AuthService","GET","/api/users/me","LEGACY_FUTURE","Conditional current-user lookup."
"/catalog","CatalogListComponent","CatalogService","GET","/api/master-products","MVP1_VISIBLE","Searches public catalog."
"/catalog","CatalogListComponent","CatalogService","GET","/api/product-categories","MVP1_VISIBLE","Populates category filter."
"/catalog/new","MasterProductCreateComponent","CatalogService","GET","/api/product-categories","MVP1_VISIBLE","Populates required category selector."
"/catalog/new","MasterProductCreateComponent","CatalogService","POST","/api/master-products","MVP1_VISIBLE","Role-protected catalog creation."
"/catalog/:id","MasterProductDetailComponent","CatalogService","GET","/api/master-products/{id}","MVP1_VISIBLE","Loads public catalog detail."
"/catalog/editorial","EditorialSearchComponent","EditorialCatalogService","GET","/api/catalog/editorial/search","MVP2_VISIBLE","Searches the public editorial facade with filters and pagination."
"/catalog/editorial/series/:seriesId","EditorialSeriesDetailComponent","EditorialCatalogService","GET","/api/catalog/editorial/series/{seriesId}/detail","MVP2_VISIBLE","Loads an aggregated public series detail."
"/catalog/editorial/items/:itemId","EditorialItemDetailComponent","EditorialCatalogService","GET","/api/catalog/editorial/items/{itemId}/detail","MVP2_VISIBLE","Loads an aggregated public item detail with editions, creators and relationships."
"/catalog/editorial/editions/:editionId","EditorialEditionDetailComponent","EditorialCatalogService","GET","/api/catalog/editorial/editions/{editionId}/detail","MVP2_VISIBLE","Loads an aggregated public edition detail."
"/admin/editorial/*","AdminEditorialService","Editorial authorization","N/A","ADMIN | EDITORIAL_ADMIN","MVP3_ADMIN_PARTIAL","All eleven editorial routes require authGuard and editorialAdminGuard."
"/admin/editorial/publishers","AdminPublishersComponent","EditorialAdminService","CRUD","/api/catalog/publishers","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
